county_desc,voters
ALAMANCE,135901
ALEXANDER,29505
ALLEGHANY,9613
ANSON,18849
ASHE,23766
AVERY,14764
BEAUFORT,40777
BERTIE,15061
BLADEN,27703
BRUNSWICK,159238
BUNCOMBE,254679
BURKE,69017
CABARRUS,180611
CALDWELL,62909
CAMDEN,9745
CARTERET,67894
CASWELL,17957
CATAWBA,132825
CHATHAM,72019
CHEROKEE,28336
CHOWAN,12260
CLAY,12214
CLEVELAND,80637
COLUMBUS,43744
CRAVEN,92971
CUMBERLAND,267133
CURRITUCK,27850
DARE,38846
DAVIDSON,135908
DAVIE,37991
DUPLIN,37328
DURHAM,297290
EDGECOMBE,42768
FORSYTH,327459
FRANKLIN,61808
GASTON,182309
GATES,9459
GRAHAM,7340
GRANVILLE,47363
GREENE,13045
GUILFORD,459907
HALIFAX,41587
HARNETT,105095
HAYWOOD,56693
HENDERSON,108108
HERTFORD,16629
HOKE,41116
HYDE,3646
IREDELL,162781
JACKSON,37100
JOHNSTON,181528
JONES,8690
LEE,47102
LENOIR,45810
LINCOLN,77992
MACON,34407
MADISON,20601
MARTIN,19744
MCDOWELL,35573
MECKLENBURG,946170
MITCHELL,13416
MONTGOMERY,20424
MOORE,93937
NASH,82721
NEW HANOVER,220932
NORTHAMPTON,15821
ONSLOW,154523
ORANGE,139416
PAMLICO,12317
PASQUOTANK,35963
PENDER,58293
PERQUIMANS,12234
PERSON,32304
PITT,149775
POLK,20339
RANDOLPH,111535
RICHMOND,34017
ROBESON,92137
ROCKINGHAM,73002
ROWAN,115649
RUTHERFORD,55042
SAMPSON,44825
SCOTLAND,26612
STANLY,52511
STOKES,38076
SURRY,55537
SWAIN,12092
TRANSYLVANIA,31892
TYRRELL,2708
UNION,203182
VANCE,33782
WAKE,967405
WARREN,16066
WASHINGTON,9836
WATAUGA,56346
WAYNE,89900
WILKES,51844
WILSON,64353
YADKIN,29027
YANCEY,17365
